10/06/2026 13:05:05 
teste_log_dens_iled_1.txt 
Soma: 48583
Dose: 48583.0
0.0 1074 	0.0 507 	0.1 0 
0.1 1080 	0.1 512 	0.2 0 
0.2 1087 	0.2 517 	0.3 0 
0.3 1094 	0.3 512 	0.4 0 
0.4 1094 	0.4 517 	0.5 0 
0.5 1091 	0.5 522 	0.6 0 
0.6 1094 	0.6 522 	0.7 0 
0.7 1097 	0.7 527 	0.8 0 
0.8 1094 	0.8 527 	0.9 0 
0.9 1091 	0.9 527 	1.0 0 
1.0 1091 	1.0 531 	1.1 0 
1.1 1091 	1.1 531 	1.2 0 
1.2 1094 	1.2 531 	1.3 0 
1.3 1087 	1.3 531 	1.4 0 
1.4 1087 	1.4 536 	1.5 0 
1.5 1087 	1.5 536 	1.6 0 
1.6 1087 	1.6 536 	1.7 0 
1.7 1087 	1.7 541 	1.8 0 
1.8 1087 	1.8 541 	1.9 0 
1.9 1084 	1.9 541 	2.0 0 
2.0 1087 	2.0 541 	2.1 0 
2.1 1084 	2.1 541 	2.2 0 
2.2 1084 	2.2 541 	2.3 0 
2.3 1084 	2.3 551 	2.4 0 
2.4 1084 	2.4 546 	2.5 0 
2.5 1080 	2.5 551 	2.6 0 
2.6 1080 	2.6 541 	2.7 0 
2.7 1080 	2.7 546 	2.8 0 
2.8 1080 	2.8 541 	2.9 0 
2.9 1077 	2.9 541 	3.0 0 
