30/06/2026 15:30:00 
exemplo_4_vetores.txt 
Soma: 167228
Dose: 16.7228
Tempo;Leitura;Luz;Corrente 
0.0;2054;1750;2365 
0.1;1962;1677;2302 
0.2;1884;1631;2238 
0.3;1810;1581;2167 
0.4;1767;1523;2113 
0.5;1680;1471;2054 
0.6;1637;1442;1998 
0.7;1561;1378;1943 
0.8;1508;1350;1891 
0.9;1458;1295;1832 
1.0;1399;1269;1791 
1.1;1346;1220;1741 
1.2;1292;1191;1691 
1.3;1242;1137;1646 
1.4;1180;1101;1595 
1.5;1148;1073;1565 
1.6;1096;1035;1513 
1.7;1076;1005;1465 
1.8;1021;981;1438 
1.9;987;951;1391 
2.0;960;914;1357 
2.1;907;892;1317 
2.2;876;851;1289 
2.3;861;835;1242 
2.4;824;808;1220 
2.5;792;769;1176 
2.6;765;755;1153 
2.7;728;739;1118 
2.8;698;715;1091 
2.9;674;693;1059 
3.0;650;674;1041 
3.1;639;639;1003 
3.2;615;613;974 
3.3;593;608;951 
3.4;567;594;935 
3.5;534;558;908 
3.6;518;561;887 
3.7;506;539;868 
3.8;488;522;835 
3.9;458;496;819 
4.0;456;494;795 
4.1;452;479;776 
4.2;411;457;755 
4.3;414;435;723 
4.4;398;422;713 
4.5;378;425;695 
4.6;357;400;678 
4.7;347;396;656 
4.8;357;378;651 
4.9;338;376;631 
5.0;306;358;617 
5.1;305;354;595 
5.2;299;330;588 
5.3;300;327;564 
5.4;281;312;544 
5.5;274;304;527 
5.6;277;307;518 
5.7;265;290;509 
5.8;260;276;506 
5.9;249;272;492 
