03/07/2026 13:24:24 
80019711_Hp07.txt 
Soma: 
Dose: 
Tempo;Leitura;Luz;Corrente 
0.1;441;529 
0.2;26;876;530 
0.3;19;876;530 
0.4;24;876;530 
0.5;26;876;530 
0.6;30;876;530 
0.7;20;876;530 
0.8;24;876;530 
0.9;28;876;530 
1.0;20;876;530 
1.1;31;876;530 
1.2;32;876;530 
1.3;23;876;530 
1.4;27;876;530 
1.5;22;876;530 
1.6;21;876;530 
1.7;18;876;530 
1.8;25;876;530 
1.9;28;876;530 
2.0;21;876;530 
2.1;16;876;530 
2.2;28;876;530 
2.3;23;876;530 
2.4;18;876;530 
2.5;15;876;530 
2.6;29;876;530 
2.7;16;876;530 
2.8;18;876;530 
2.9;13;876;530 
3.0;18;876;530 
3.1;21;876;530 
3.2;27;876;530 
3.3;16;876;530 
3.4;19;876;530 
3.5;22;876;530 
3.6;20;876;530 
3.7;29;876;530 
3.8;20;876;530 
3.9;25;876;530 
4.0;9;876;530 
4.1;12;876;530 
4.2;16;876;530 
4.3;17;876;530 
4.4;22;876;530 
4.5;13;876;530 
4.6;23;876;530 
4.7;17;876;530 
4.8;18;876;530 
4.9;13;876;530 
5.0;20;876;530 
5.1;13;876;530 
5.2;19;876;530 
5.3;20;876;530 
5.4;16;876;530 
5.5;16;876;530 
5.6;13;876;530 
5.7;17;876;530 
5.8;18;876;530 
5.9;13;876;530 
6.0;18;876;530 
6.1;14;876;530 
6.2;7;876;530 
6.3;13;876;530 
6.4;12;876;530 
6.5;9;876;530 
6.6;14;876;530 
6.7;16;876;530 
6.8;11;876;530 
6.9;13;876;530 
7.0;10;876;530 
7.1;11;876;530 
7.2;9;876;530 
7.3;16;876;530 
7.4;13;876;530 
7.5;14;876;530 
7.6;7;876;530 
7.7;20;876;530 
7.8;14;876;530 
7.9;6;876;530 
8.0;14;876;530 
8.1;7;876;530 
8.2;8;876;530 
8.3;11;876;530 
8.4;13;876;530 
8.5;24;876;530 
8.6;15;876;530 
8.7;8;876;530 
8.8;11;876;530 
8.9;9;876;530 
9.0;11;876;530 
9.1;10;876;530 
9.2;17;876;530 
9.3;7;876;530 
9.4;16;876;530 
9.5;11;876;530 
9.6;8;876;530 
9.7;6;876;530 
9.8;4;876;530 
9.9;12;876;530 
10.0;11;876;530 
10.1;15;876;530 
10.2;7;876;530 
10.3;9;876;530 
10.4;3;876;530 
10.5;3;876;530 
10.6;16;876;530 
10.7;7;876;530 
10.8;9;876;530 
10.9;8;876;530 
11.0;10;876;530 
11.1;7;876;530 
11.2;10;876;530 
11.3;9;876;530 
11.4;8;876;530 
11.5;7;876;530 
11.6;6;876;530 
11.7;8;876;530 
11.8;11;876;530 
11.9;5;876;530 
12.0;8;876;530 
12.1;11;876;530 
12.2;9;876;530 
12.3;9;876;530 
12.4;5;876;530 
12.5;10;876;530 
12.6;7;876;530 
12.7;8;876;530 
12.8;12;876;530 
12.9;10;876;530 
13.0;6;876;530 
13.1;13;876;530 
13.2;5;876;530 
13.3;5;876;530 
13.4;8;876;530 
13.5;6;876;530 
13.6;4;876;530 
13.7;3;876;530 
13.8;7;876;530 
13.9;7;876;530 
14.0;2;876;530 
14.1;7;876;530 
14.2;3;876;530 
14.3;4;876;529 
14.4;6;876;530 
14.5;8;876;530 
14.6;9;876;530 
14.7;4;876;530 
14.8;3;876;530 
14.9;4;876;530 
15.0;6;876;530 
15.1;11;876;530 
15.2;8;876;530 
15.3;8;876;530 
15.4;3;876;530 
15.5;9;876;529 
15.6;9;876;529 
15.7;5;876;529 
15.8;5;876;529 
15.9;9;876;529 
16.0;3;876;529 
16.1;7;876;529 
16.2;6;876;529 
16.3;4;876;529 
16.4;4;876;529 
16.5;5;876;529 
16.6;4;876;529 
16.7;8;876;529 
16.8;6;876;529 
16.9;9;876;529 
17.0;6;876;529 
17.1;2;876;529 
17.2;9;876;529 
17.3;7;876;529 
17.4;2;876;529 
17.5;3;876;529 
17.6;7;876;529 
17.7;8;876;529 
17.8;5;876;529 
17.9;5;876;529 
18.0;6;876;528 
18.1;5;876;529 
18.2;8;876;529 
18.3;7;876;529 
18.4;7;876;529 
18.5;6;876;529 
18.6;3;876;528 
18.7;4;876;529 
18.8;7;876;529 
18.9;4;876;529 
19.0;9;876;529 
19.1;4;876;529 
19.2;4;876;529 
19.3;4;876;529 
19.4;3;876;529 
19.5;4;876;529 
19.6;3;876;529 
19.7;5;876;529 
19.8;4;876;529 
19.9;5;876;529 
20.0;2;876;529 
20.1;5;876;529 
20.2;9;876;529 
20.3;6;876;529 
20.4;2;876;529 
20.5;4;876;529 
