03/07/2026 13:20:26 
80019711_Hp10.txt 
Soma: 846770
Dose: 846770.0
Tempo;Leitura;Luz;Corrente 
0.1;441;533 
0.2;17;876;533 
0.3;23;876;533 
0.4;24;876;533 
0.5;27;876;533 
0.6;28;876;533 
0.7;24;876;533 
0.8;25;876;533 
0.9;30;876;533 
1.0;20;876;533 
1.1;30;876;533 
1.2;25;876;533 
1.3;17;876;533 
1.4;23;876;533 
1.5;23;876;533 
1.6;22;876;533 
1.7;17;876;533 
1.8;11;876;533 
1.9;20;876;533 
2.0;16;876;533 
2.1;24;876;533 
2.2;29;876;533 
2.3;23;876;533 
2.4;10;876;533 
2.5;11;876;533 
2.6;18;876;533 
2.7;10;876;533 
2.8;17;876;533 
2.9;21;876;533 
3.0;12;876;533 
3.1;15;876;533 
3.2;10;876;533 
3.3;23;876;533 
3.4;19;876;533 
3.5;22;876;533 
3.6;23;876;533 
3.7;12;876;533 
3.8;20;876;533 
3.9;26;876;533 
4.0;20;876;534 
4.1;14;876;534 
4.2;15;876;534 
4.3;18;876;534 
4.4;17;876;533 
4.5;19;876;534 
4.6;10;876;534 
4.7;22;876;534 
4.8;15;876;534 
4.9;12;876;534 
5.0;9;876;534 
5.1;21;876;533 
5.2;10;876;534 
5.3;13;876;534 
5.4;14;876;534 
5.5;15;876;534 
5.6;8;876;534 
5.7;19;876;534 
5.8;12;876;534 
5.9;8;876;534 
6.0;14;876;534 
6.1;12;876;534 
6.2;13;876;534 
6.3;15;876;534 
6.4;16;876;534 
6.5;15;876;534 
6.6;14;876;534 
6.7;12;876;534 
6.8;13;876;534 
6.9;13;876;534 
7.0;9;876;534 
7.1;13;876;534 
7.2;14;876;534 
7.3;16;876;534 
7.4;16;876;534 
7.5;18;876;533 
7.6;20;876;534 
7.7;8;876;534 
7.8;11;876;533 
7.9;11;876;533 
8.0;8;876;533 
8.1;12;876;534 
8.2;8;876;534 
8.3;11;876;534 
8.4;10;876;534 
8.5;13;876;534 
8.6;10;876;534 
8.7;5;876;533 
8.8;9;876;533 
8.9;7;876;533 
9.0;17;876;533 
9.1;5;876;534 
9.2;10;876;533 
9.3;8;876;533 
9.4;11;876;534 
9.5;11;876;534 
9.6;8;876;533 
9.7;12;876;533 
9.8;16;876;534 
9.9;5;876;533 
10.0;8;876;533 
10.1;13;876;533 
10.2;9;876;533 
10.3;7;876;533 
10.4;7;876;533 
10.5;11;876;533 
10.6;13;876;533 
10.7;5;876;533 
10.8;11;876;534 
10.9;10;876;533 
11.0;6;876;533 
11.1;10;876;533 
11.2;5;876;533 
11.3;6;876;533 
11.4;4;876;533 
11.5;9;876;533 
11.6;8;876;533 
11.7;6;876;533 
11.8;14;876;533 
11.9;10;876;533 
12.0;9;876;533 
12.1;5;876;533 
12.2;8;876;533 
12.3;8;876;533 
12.4;7;876;533 
12.5;5;876;533 
12.6;10;876;533 
12.7;8;876;533 
12.8;6;876;533 
12.9;8;876;533 
13.0;8;876;533 
13.1;7;876;533 
13.2;10;876;533 
13.3;11;876;533 
13.4;7;876;533 
13.5;7;876;533 
13.6;7;876;533 
13.7;9;876;533 
13.8;9;876;532 
13.9;5;876;532 
14.0;12;876;532 
14.1;7;876;532 
14.2;12;876;532 
14.3;4;876;532 
14.4;5;876;533 
14.5;7;876;532 
14.6;10;876;532 
14.7;7;876;532 
14.8;9;876;532 
14.9;2;876;532 
15.0;3;876;532 
15.1;5;876;532 
15.2;8;876;532 
15.3;4;876;532 
15.4;5;876;532 
15.5;6;876;532 
15.6;8;876;532 
15.7;4;876;532 
15.8;8;876;532 
15.9;6;876;532 
16.0;6;876;532 
16.1;4;876;532 
16.2;7;876;532 
16.3;7;876;532 
16.4;9;876;532 
16.5;10;876;532 
16.6;6;876;532 
16.7;5;876;532 
16.8;9;876;532 
16.9;6;876;532 
17.0;11;876;532 
17.1;4;876;532 
17.2;8;876;532 
17.3;7;876;532 
17.4;6;876;532 
17.5;5;876;532 
17.6;16;876;532 
17.7;9;876;532 
17.8;5;876;533 
17.9;6;876;532 
18.0;6;876;532 
18.1;1;876;532 
18.2;8;876;532 
18.3;5;876;532 
18.4;1;876;532 
18.5;7;876;532 
18.6;9;876;532 
18.7;4;876;532 
18.8;4;876;532 
18.9;2;876;532 
19.0;7;876;532 
19.1;7;876;532 
19.2;9;876;532 
19.3;4;876;532 
19.4;8;876;532 
19.5;6;876;532 
19.6;1;876;532 
19.7;5;876;532 
19.8;7;876;532 
19.9;4;876;532 
20.0;11;876;532 
20.1;6;876;532 
20.2;4;876;532 
20.3;8;876;532 
20.4;7;876;532 
20.5;3;876;532 
20.6;2;876;532 
