09/07/2026 13:23:37 
teste19.txt 
Soma: 
Dose: 
Tempo;Leitura;Luz;Corrente 
0.1;8;441;519 
0.2;12;876;519 
0.3;12;876;519 
0.4;3;876;519 
0.5;8;876;519 
0.6;5;876;519 
0.7;8;876;519 
0.8;9;876;519 
0.9;4;876;519 
1.0;10;876;519 
1.1;12;876;519 
1.2;5;876;519 
1.3;10;876;519 
1.4;7;876;519 
1.5;6;876;519 
1.6;10;876;519 
1.7;11;876;519 
1.8;17;876;519 
1.9;10;876;519 
2.0;12;876;519 
2.1;8;876;519 
2.2;7;876;520 
2.3;11;876;519 
2.4;10;876;519 
2.5;11;876;520 
2.6;10;876;520 
2.7;11;876;520 
2.8;11;876;519 
2.9;15;876;519 
3.0;14;876;519 
