09/07/2026 12:40:48 
teste9.txt 
Soma: 40548
Dose: 40548.0
Tempo;Leitura;Luz;Corrente 
0.1;9;870;515 
0.2;10;870;517 
0.3;11;873;517 
0.4;8;873;517 
0.5;11;870;517 
0.6;5;873;517 
0.7;12;870;517 
0.8;7;873;517 
0.9;7;873;517 
1.0;8;873;517 
1.1;12;873;517 
1.2;8;873;517 
1.3;10;873;517 
1.4;7;873;517 
1.5;13;873;517 
1.6;7;873;517 
1.7;10;873;517 
1.8;8;873;517 
1.9;7;873;517 
2.0;9;873;517 
2.1;8;873;517 
2.2;7;873;517 
2.3;10;873;517 
2.4;13;870;517 
2.5;11;870;517 
2.6;13;870;517 
2.7;12;870;516 
2.8;6;870;516 
2.9;13;870;517 
