15/07/2026 18:08:40 
1257_10_1mSv_L2.txt 
Soma: 10754
Dose: 0.323297502
Time;Count;Current;Light 
0.1;432;441;525 
0.2;458;876;525 
0.3;462;876;525 
0.4;423;876;525 
0.5;434;876;525 
0.6;359;876;525 
0.7;425;876;524 
0.8;378;876;525 
0.9;410;876;525 
1.0;381;876;525 
1.1;361;876;525 
1.2;382;876;524 
1.3;359;876;525 
1.4;339;876;525 
1.5;345;876;524 
1.6;318;876;524 
1.7;332;876;524 
1.8;380;876;524 
1.9;341;876;524 
2.0;340;876;525 
2.1;283;876;525 
2.2;341;876;525 
2.3;326;876;524 
2.4;327;876;524 
2.5;319;876;525 
2.6;310;876;524 
2.7;306;876;524 
2.8;302;876;524 
2.9;273;876;524 
3.0;308;876;524 
