15/07/2026 18:00:39 
2695_10_2.txt 
Soma: 26613
Dose: 1.043336052
Time;Count;Current;Light 
0.1;1244;441;524 
0.2;1224;876;525 
0.3;1182;876;524 
0.4;1126;876;524 
0.5;1070;876;524 
0.6;1057;876;524 
0.7;1052;876;524 
0.8;993;876;524 
0.9;1006;876;524 
1.0;966;876;523 
1.1;924;876;524 
1.2;956;876;524 
1.3;959;876;524 
1.4;861;876;524 
1.5;895;876;524 
1.6;815;876;524 
1.7;789;876;524 
1.8;809;876;524 
1.9;808;876;524 
2.0;792;876;524 
2.1;713;876;524 
2.2;788;876;523 
2.3;713;876;524 
2.4;726;873;524 
2.5;724;873;524 
2.6;770;873;524 
2.7;678;876;524 
2.8;667;873;524 
2.9;694;873;524 
3.0;612;873;524 
