15/07/2026 18:13:45 
3982_007_01mSv.txt 
Soma: 4706
Dose: 0.161665218
Time;Count;Current;Light 
0.1;227;441;526 
0.2;225;876;526 
0.3;218;876;526 
0.4;207;876;526 
0.5;203;876;526 
0.6;171;876;526 
0.7;181;876;526 
0.8;194;876;526 
0.9;173;876;526 
1.0;184;876;526 
1.1;171;876;526 
1.2;167;876;526 
1.3;144;876;526 
1.4;146;876;526 
1.5;143;876;526 
1.6;158;876;526 
1.7;141;876;526 
1.8;144;876;526 
1.9;124;876;526 
2.0;137;876;526 
2.1;131;876;526 
2.2;131;876;526 
2.3;132;876;526 
2.4;119;876;526 
2.5;124;876;527 
2.6;126;876;526 
2.7;130;876;526 
2.8;116;876;526 
2.9;124;876;526 
3.0;115;876;526 
