15/07/2026 15:11:21 
7468_007.txt 
Soma: 30433
Dose: 30433.0
Time;Count;Current;Light 
0.1;1534;444;529 
0.2;1475;880;530 
0.3;1486;880;530 
0.4;1352;880;530 
0.5;1305;880;530 
0.6;1193;880;530 
0.7;1196;880;530 
0.8;1188;880;529 
0.9;1151;880;529 
1.0;1145;880;529 
1.1;1056;880;530 
1.2;1083;880;529 
1.3;991;880;529 
1.4;1041;880;529 
1.5;943;880;529 
1.6;925;880;529 
1.7;934;880;529 
1.8;944;880;530 
1.9;952;880;529 
2.0;889;880;529 
2.1;785;880;529 
2.2;806;880;529 
2.3;845;880;529 
2.4;789;880;529 
2.5;768;880;529 
2.6;796;880;529 
2.7;753;880;529 
2.8;703;880;529 
2.9;708;880;529 
3.0;697;880;529 
