15/07/2026 16:55:20 
branco_25444_007.txt 
Soma: 817
Dose: 817.0
Time;Count;Current;Light 
0.1;26;441;519 
0.2;31;873;519 
0.3;35;873;519 
0.4;37;873;519 
0.5;28;873;519 
0.6;32;873;519 
0.7;32;873;519 
0.8;27;873;519 
0.9;29;873;519 
1.0;23;873;519 
1.1;37;873;519 
1.2;24;873;519 
1.3;24;873;519 
1.4;10;873;519 
1.5;12;873;519 
1.6;39;873;519 
1.7;24;873;519 
1.8;23;873;519 
1.9;28;876;519 
2.0;26;873;519 
2.1;23;873;519 
2.2;26;873;519 
2.3;28;873;519 
2.4;29;873;519 
2.5;32;873;519 
2.6;30;873;519 
2.7;24;873;519 
2.8;27;873;519 
2.9;27;873;519 
3.0;24;873;519 
