15/07/2026 16:30:33 
branco_2759_007_2.txt 
Soma: 1132
Dose: 1132.0
Time;Count;Current;Light 
0.1;33;880;532 
0.2;39;880;534 
0.3;51;880;534 
0.4;29;880;533 
0.5;41;880;533 
0.6;52;880;534 
0.7;47;880;533 
0.8;41;880;534 
0.9;27;880;533 
1.0;37;880;533 
1.1;37;880;533 
1.2;30;880;533 
1.3;39;880;534 
1.4;44;880;534 
1.5;41;880;533 
1.6;39;880;533 
1.7;39;880;534 
1.8;42;880;533 
1.9;36;880;534 
2.0;43;880;534 
2.1;37;880;534 
2.2;31;880;534 
2.3;35;880;534 
2.4;35;880;533 
2.5;40;880;534 
2.6;37;880;534 
2.7;28;880;534 
2.8;44;880;534 
2.9;23;880;534 
3.0;35;880;534 
