15/07/2026 17:37:59 
teste007.txt 
Soma: 53575
Dose: 53575.0
Time;Count;Current;Light 
0.1;2684;873;522 
0.2;2508;876;523 
0.3;2467;876;523 
0.4;2295;876;523 
0.5;2323;876;523 
0.6;2228;876;523 
0.7;2180;876;523 
0.8;2157;876;523 
0.9;2109;876;523 
1.0;2056;876;523 
1.1;2002;876;523 
1.2;1806;876;523 
1.3;1873;876;523 
1.4;1757;876;523 
1.5;1759;876;523 
1.6;1703;876;523 
1.7;1593;876;523 
1.8;1585;876;523 
1.9;1565;876;523 
2.0;1530;876;523 
2.1;1517;876;523 
2.2;1440;876;523 
2.3;1478;876;523 
2.4;1370;876;523 
2.5;1404;876;523 
2.6;1282;876;523 
2.7;1255;876;523 
2.8;1248;876;524 
2.9;1264;876;523 
3.0;1137;876;524 
