17/07/2026 16:50:33 
25344_007_Zeramento_L2.txt 
Soma: 39463
Dose: 1.1746556580000003
Time;Count;Current;Light 
0.1;76;444;530 
0.2;56;876;530 
0.3;67;876;530 
0.4;73;876;530 
0.5;58;876;530 
0.6;50;876;530 
0.7;71;876;529 
0.8;69;876;529 
0.9;59;876;529 
1.0;61;876;530 
1.1;62;876;530 
1.2;66;876;530 
1.3;58;876;530 
1.4;69;880;530 
1.5;63;876;530 
1.6;70;876;530 
1.7;70;876;530 
1.8;52;876;530 
1.9;66;876;530 
2.0;53;876;530 
2.1;65;876;530 
2.2;74;880;530 
2.3;85;880;530 
2.4;77;876;530 
2.5;71;876;530 
2.6;64;880;530 
2.7;79;880;530 
2.8;64;880;530 
2.9;52;880;530 
3.0;55;880;530 
3.1;66;880;530 
3.2;55;876;530 
3.3;61;880;530 
3.4;61;876;530 
3.5;83;876;530 
3.6;64;880;530 
3.7;76;880;530 
3.8;85;880;530 
3.9;68;880;530 
4.0;52;880;530 
4.1;65;880;530 
4.2;70;880;530 
4.3;57;880;530 
4.4;67;880;530 
4.5;69;880;530 
4.6;75;876;530 
4.7;52;876;530 
4.8;66;880;530 
4.9;63;880;530 
5.0;77;880;530 
5.1;69;880;530 
5.2;71;880;530 
5.3;74;880;530 
5.4;68;880;530 
5.5;54;880;530 
5.6;47;880;530 
5.7;67;880;530 
5.8;62;880;530 
5.9;69;880;530 
6.0;61;880;530 
6.1;62;880;530 
6.2;60;880;530 
6.3;48;880;530 
6.4;45;880;530 
6.5;71;880;530 
6.6;66;876;530 
6.7;60;880;530 
6.8;72;880;530 
6.9;61;880;530 
7.0;64;880;530 
7.1;58;880;530 
7.2;62;876;530 
7.3;73;880;530 
7.4;76;880;530 
7.5;67;880;530 
7.6;55;876;530 
7.7;69;880;530 
7.8;71;876;530 
7.9;51;880;530 
8.0;57;880;530 
8.1;59;880;530 
8.2;64;876;530 
8.3;68;876;530 
8.4;57;880;530 
8.5;75;876;530 
8.6;76;880;530 
8.7;61;876;530 
8.8;67;876;530 
8.9;76;876;530 
9.0;61;876;530 
9.1;63;880;530 
9.2;52;876;530 
9.3;78;876;530 
9.4;61;876;530 
9.5;57;876;530 
9.6;63;880;530 
9.7;60;876;530 
9.8;52;876;529 
9.9;72;876;530 
10.0;61;876;530 
10.1;53;876;530 
10.2;62;876;529 
10.3;57;876;530 
10.4;81;876;529 
10.5;65;876;529 
10.6;60;876;529 
10.7;64;876;529 
10.8;67;876;529 
10.9;65;876;529 
11.0;65;876;529 
11.1;49;876;529 
11.2;71;876;529 
11.3;58;876;528 
11.4;73;876;528 
11.5;55;876;528 
11.6;66;876;528 
11.7;74;876;528 
11.8;55;876;528 
11.9;65;876;528 
12.0;62;876;528 
12.1;70;876;528 
12.2;66;876;528 
12.3;71;876;528 
12.4;62;876;528 
12.5;69;876;528 
12.6;62;876;528 
12.7;87;876;528 
12.8;62;876;529 
12.9;52;876;528 
13.0;78;876;528 
13.1;66;876;529 
13.2;64;876;529 
13.3;65;876;529 
13.4;74;876;529 
13.5;54;876;529 
13.6;75;876;529 
13.7;51;876;529 
13.8;73;876;529 
13.9;53;876;529 
14.0;46;876;529 
14.1;65;876;529 
14.2;60;876;529 
14.3;68;876;529 
14.4;62;876;529 
14.5;72;876;529 
14.6;64;880;529 
14.7;72;876;529 
14.8;51;876;529 
14.9;71;876;529 
15.0;66;876;529 
15.1;59;876;529 
15.2;60;876;529 
15.3;53;876;529 
15.4;67;876;529 
15.5;64;876;529 
15.6;53;876;529 
15.7;54;876;529 
15.8;75;880;529 
15.9;70;880;529 
16.0;71;880;529 
16.1;62;880;529 
16.2;67;880;529 
16.3;64;880;530 
16.4;64;880;529 
16.5;78;880;529 
16.6;57;880;529 
16.7;69;880;529 
16.8;64;876;529 
16.9;69;876;529 
17.0;52;880;529 
17.1;76;880;529 
17.2;77;880;529 
17.3;63;880;529 
17.4;68;880;529 
17.5;75;880;529 
17.6;69;880;529 
17.7;50;880;529 
17.8;70;880;529 
17.9;63;880;529 
18.0;73;880;529 
18.1;67;880;529 
18.2;56;880;529 
18.3;55;880;529 
18.4;62;880;529 
18.5;61;880;529 
18.6;70;880;529 
18.7;56;876;529 
18.8;64;880;529 
18.9;60;880;529 
19.0;67;880;529 
19.1;65;880;529 
19.2;68;880;529 
19.3;59;880;529 
19.4;44;880;529 
19.5;68;880;529 
19.6;54;880;529 
19.7;65;876;529 
19.8;78;880;529 
19.9;58;880;529 
20.0;62;880;529 
20.1;52;880;529 
20.2;56;876;529 
20.3;73;880;529 
20.4;59;880;529 
20.5;62;876;529 
20.6;68;876;528 
20.7;64;876;528 
20.8;70;876;529 
20.9;67;876;528 
21.0;80;876;528 
21.1;58;876;528 
21.2;55;876;528 
21.3;69;876;528 
21.4;60;876;528 
21.5;74;876;528 
21.6;62;876;528 
21.7;58;876;527 
21.8;62;876;528 
21.9;56;876;528 
22.0;53;876;527 
22.1;65;876;528 
22.2;66;876;527 
22.3;59;876;527 
22.4;63;876;527 
22.5;65;876;528 
22.6;66;876;527 
22.7;74;876;527 
22.8;70;876;528 
22.9;66;876;527 
23.0;54;876;528 
23.1;71;876;527 
23.2;59;876;528 
23.3;64;876;528 
23.4;70;876;528 
23.5;62;876;528 
23.6;59;876;528 
23.7;67;876;528 
23.8;53;876;528 
23.9;57;876;528 
24.0;65;876;528 
24.1;75;876;528 
24.2;65;876;528 
24.3;75;876;528 
24.4;70;876;528 
24.5;76;876;528 
24.6;64;876;528 
24.7;73;876;528 
24.8;55;876;528 
24.9;56;880;528 
25.0;56;876;528 
25.1;71;880;528 
25.2;65;880;528 
25.3;67;880;528 
25.4;63;880;528 
25.5;69;880;528 
25.6;68;880;528 
25.7;63;876;528 
25.8;62;876;528 
25.9;67;876;528 
26.0;55;880;528 
26.1;58;876;528 
26.2;61;876;528 
26.3;63;880;528 
26.4;68;880;528 
26.5;64;876;528 
26.6;77;876;528 
26.7;65;876;528 
26.8;66;876;528 
26.9;63;876;528 
27.0;60;880;528 
27.1;64;876;528 
27.2;59;876;528 
27.3;66;876;528 
27.4;63;876;528 
27.5;67;876;528 
27.6;71;876;528 
27.7;75;876;528 
27.8;46;876;528 
27.9;81;876;528 
28.0;68;876;528 
28.1;65;876;528 
28.2;58;876;528 
28.3;65;876;528 
28.4;60;876;528 
28.5;85;876;528 
28.6;78;876;528 
28.7;69;876;528 
28.8;74;880;528 
28.9;88;876;528 
29.0;74;876;528 
29.1;62;876;528 
29.2;52;880;528 
29.3;69;876;528 
29.4;73;876;528 
29.5;73;876;528 
29.6;76;876;528 
29.7;58;876;528 
29.8;77;876;528 
29.9;57;876;527 
30.0;69;876;528 
30.1;55;876;528 
30.2;71;876;528 
30.3;65;876;528 
30.4;62;876;527 
30.5;67;876;528 
30.6;72;876;528 
30.7;57;876;527 
30.8;65;876;527 
30.9;67;876;528 
31.0;72;876;527 
31.1;54;876;527 
31.2;57;876;526 
31.3;71;876;526 
31.4;58;876;527 
31.5;60;876;526 
31.6;72;876;526 
31.7;69;876;527 
31.8;68;876;527 
31.9;56;876;526 
32.0;55;876;526 
32.1;72;876;526 
32.2;69;876;526 
32.3;71;876;526 
32.4;49;876;527 
32.5;55;876;527 
32.6;80;876;526 
32.7;61;876;527 
32.8;63;876;526 
