17/07/2026 16:53:59 
25344_007_linhaBase_L3.txt 
Soma: 1629
Dose: 1629.0
Time;Count;Current;Light 
0.1;62;444;526 
0.2;59;876;527 
0.3;49;876;527 
0.4;44;876;527 
0.5;55;876;527 
0.6;62;880;527 
0.7;41;876;527 
0.8;61;876;526 
0.9;55;876;526 
1.0;65;876;527 
1.1;49;880;527 
1.2;50;880;527 
1.3;42;876;527 
1.4;60;880;527 
1.5;62;876;527 
1.6;64;880;527 
1.7;44;880;527 
1.8;53;880;527 
1.9;53;880;527 
2.0;62;880;527 
2.1;60;880;527 
2.2;60;880;527 
2.3;60;880;527 
2.4;49;880;528 
2.5;47;880;527 
2.6;51;880;527 
2.7;52;880;527 
2.8;53;880;527 
2.9;40;880;527 
3.0;65;880;527 
