17/07/2026 16:46:13 
25344_10_L2.txt 
Soma: 64187
Dose: 1.6542915510000002
Time;Count;Current;Light 
0.1;3396;444;535 
0.2;3231;880;536 
0.3;3022;880;535 
0.4;2951;880;535 
0.5;2866;880;535 
0.6;2707;880;535 
0.7;2647;880;535 
0.8;2633;880;535 
0.9;2560;880;535 
1.0;2356;880;535 
1.1;2377;880;535 
1.2;2220;880;535 
1.3;2137;880;535 
1.4;2078;880;535 
1.5;2076;880;535 
1.6;2030;880;535 
1.7;1965;880;535 
1.8;1897;880;535 
1.9;1850;880;535 
2.0;1775;880;535 
2.1;1722;880;535 
2.2;1680;880;535 
2.3;1667;880;535 
2.4;1631;880;536 
2.5;1485;880;535 
2.6;1545;880;535 
2.7;1509;880;536 
2.8;1432;880;536 
2.9;1342;880;536 
3.0;1400;880;536 
