17/07/2026 16:42:24 
LinhaBase_L1.txt 
Soma: 5911
Dose: 0.19506300000000001
Time;Count;Current;Light 
0.1;178;444;536 
0.2;225;880;536 
0.3;203;880;536 
0.4;236;880;536 
0.5;205;880;536 
0.6;211;880;536 
0.7;208;880;536 
0.8;198;880;536 
0.9;214;880;536 
1.0;245;880;536 
1.1;221;880;536 
1.2;201;880;536 
1.3;192;880;536 
1.4;218;880;536 
1.5;199;880;536 
1.6;188;880;536 
1.7;199;880;536 
1.8;211;880;536 
1.9;176;880;536 
2.0;193;880;536 
2.1;182;880;536 
2.2;188;880;536 
2.3;164;880;536 
2.4;211;880;537 
2.5;174;880;536 
2.6;196;880;536 
2.7;163;880;536 
2.8;182;880;536 
2.9;156;880;537 
3.0;174;880;537 
