20/07/2026 17:11:22 
teste.txt 
Soma: 5801
Dose: 0.19143300000000002
Time;Count;Current;Light 
0.1;151;364;522 
0.2;169;742;524 
0.3;210;758;524 
0.4;194;758;524 
0.5;198;761;524 
0.6;174;758;524 
0.7;197;761;524 
0.8;204;758;525 
0.9;197;761;524 
1.0;185;761;525 
1.1;191;761;524 
1.2;202;761;525 
1.3;203;761;524 
1.4;194;761;524 
1.5;203;761;525 
1.6;182;764;525 
1.7;194;761;525 
1.8;201;764;525 
1.9;179;761;525 
2.0;213;758;525 
2.1;173;761;525 
2.2;208;761;525 
2.3;220;761;525 
2.4;208;764;525 
2.5;204;764;525 
2.6;212;761;525 
2.7;187;764;525 
2.8;174;764;525 
2.9;180;764;525 
3.0;194;764;526 
