20/07/2026 17:11:37 
teste_2.txt 
Soma: 6000
Dose: 0.198
Time;Count;Current;Light 
0.1;133;364;524 
0.2;175;726;524 
0.3;231;758;526 
0.4;219;761;526 
0.5;185;761;526 
0.6;195;761;526 
0.7;203;764;527 
0.8;197;764;527 
0.9;194;761;526 
1.0;193;761;526 
1.1;198;761;526 
1.2;198;764;526 
1.3;178;764;526 
1.4;219;768;527 
1.5;203;764;527 
1.6;206;764;526 
1.7;198;761;527 
1.8;234;764;527 
1.9;186;764;526 
2.0;201;764;527 
2.1;207;764;526 
2.2;181;764;526 
2.3;209;768;527 
2.4;199;768;526 
2.5;210;764;527 
2.6;224;768;527 
2.7;205;768;526 
2.8;212;768;526 
2.9;210;768;527 
3.0;197;768;527 
