20/07/2026 16:21:59 
teste_travamento_60.txt 
Soma: 7555
Dose: 0.249315
Time;Count;Current;Light 
0.1;250;361;501 
0.2;251;713;501 
0.3;242;710;501 
0.4;238;710;501 
0.5;208;710;501 
0.6;245;710;501 
0.7;233;710;501 
0.8;232;710;501 
0.9;254;710;501 
1.0;229;710;501 
1.1;263;710;501 
1.2;231;710;501 
1.3;252;710;501 
1.4;256;710;501 
1.5;250;710;501 
1.6;262;710;501 
1.7;251;710;501 
1.8;228;710;501 
1.9;254;710;501 
2.0;268;710;501 
2.1;289;710;501 
2.2;262;710;501 
2.3;276;710;501 
2.4;270;710;501 
2.5;247;710;501 
2.6;251;710;501 
2.7;283;710;501 
2.8;260;710;501 
2.9;278;710;501 
3.0;242;710;501 
