Time,Count,Current,Light
0.1,1784.0,444.0,529.0
0.2,1600.0,883.0,530.0
0.3,1466.0,883.0,530.0
0.4,1414.0,883.0,530.0
0.5,1316.0,883.0,530.0
0.6,1240.0,883.0,529.0
0.7,1178.0,883.0,530.0
0.8,1138.0,883.0,530.0
0.9,1062.0,883.0,529.0
1.0,1037.0,883.0,530.0
1.1,962.0,883.0,529.0
1.2,907.0,883.0,530.0
1.3,934.0,883.0,530.0
1.4,879.0,883.0,530.0
1.5,838.0,883.0,529.0
1.6,794.0,883.0,530.0
1.7,780.0,883.0,530.0
1.8,710.0,883.0,530.0
1.9,612.0,883.0,530.0
2.0,680.0,883.0,530.0
2.1,669.0,883.0,530.0
2.2,610.0,883.0,530.0
2.3,655.0,883.0,530.0
2.4,575.0,883.0,530.0
2.5,545.0,883.0,530.0
2.6,557.0,883.0,530.0
2.7,503.0,883.0,530.0
2.8,524.0,883.0,530.0
2.9,489.0,880.0,530.0
3.0,429.0,883.0,530.0
