Time,Count,Current,Light
0.1,1813.0,444.0,524.0
0.2,1761.0,876.0,525.0
0.3,1643.0,876.0,525.0
0.4,1628.0,876.0,525.0
0.5,1575.0,876.0,524.0
0.6,1617.0,876.0,525.0
0.7,1453.0,876.0,525.0
0.8,1453.0,876.0,524.0
0.9,1407.0,876.0,525.0
1.0,1281.0,876.0,524.0
1.1,1348.0,876.0,525.0
1.2,1264.0,876.0,525.0
1.3,1267.0,876.0,525.0
1.4,1160.0,876.0,524.0
1.5,1163.0,876.0,525.0
1.6,1122.0,876.0,525.0
1.7,1102.0,876.0,525.0
1.8,1020.0,876.0,525.0
1.9,1041.0,876.0,525.0
2.0,1104.0,876.0,525.0
2.1,1025.0,876.0,525.0
2.2,902.0,876.0,525.0
2.3,938.0,876.0,525.0
2.4,929.0,876.0,525.0
2.5,897.0,876.0,525.0
2.6,879.0,876.0,525.0
2.7,759.0,876.0,525.0
2.8,848.0,876.0,525.0
2.9,840.0,876.0,525.0
3.0,771.0,876.0,525.0
