15/07/2026 18:07:22 
1257_10_1msv.txt 
Soma: 17639
Dose: 0.5302812570000001
Time;Count;Current;Light 
0.1;785;441;524 
0.2;737;876;525 
0.3;795;876;524 
0.4;701;876;524 
0.5;705;876;524 
0.6;760;876;524 
0.7;662;876;525 
0.8;646;876;525 
0.9;686;876;525 
1.0;636;876;525 
1.1;618;876;525 
1.2;623;876;525 
1.3;597;876;525 
1.4;579;876;525 
1.5;549;876;525 
1.6;559;876;525 
1.7;599;876;525 
1.8;513;876;525 
1.9;543;876;525 
2.0;574;876;525 
2.1;531;876;525 
2.2;488;876;525 
2.3;492;876;525 
2.4;461;876;526 
2.5;435;876;525 
2.6;508;876;525 
2.7;480;876;526 
2.8;482;876;525 
2.9;451;876;525 
3.0;444;876;525 
