15/07/2026 18:03:19 
2695_007_1mSv_L2.txt 
Soma: 29889
Dose: 1.064257623
Time;Count;Current;Light 
0.1;1459;441;523 
0.2;1433;876;524 
0.3;1312;876;524 
0.4;1345;876;524 
0.5;1294;876;524 
0.6;1167;876;523 
0.7;1248;876;523 
0.8;1112;873;523 
0.9;1164;876;523 
1.0;1156;873;523 
1.1;1087;873;523 
1.2;1055;873;523 
1.3;974;873;523 
1.4;973;876;523 
1.5;968;876;524 
1.6;935;873;523 
1.7;944;873;523 
1.8;896;876;524 
1.9;868;876;524 
2.0;866;876;523 
2.1;820;876;524 
2.2;846;876;524 
2.3;819;876;524 
2.4;777;876;524 
2.5;768;876;524 
2.6;785;876;524 
2.7;734;876;524 
2.8;689;876;524 
2.9;695;876;524 
3.0;700;876;524 
