15/07/2026 17:42:09 
2759_10_2.txt 
Soma: 26484
Dose: 26484.0
Time;Count;Current;Light 
0.1;1227;441;522 
0.2;1134;876;523 
0.3;1116;876;523 
0.4;1151;876;523 
0.5;1051;876;522 
0.6;1064;876;522 
0.7;1028;876;522 
0.8;1023;876;522 
0.9;985;876;522 
1.0;1007;876;522 
1.1;936;876;522 
1.2;979;876;522 
1.3;878;876;522 
1.4;862;876;522 
1.5;851;876;522 
1.6;869;876;522 
1.7;848;873;522 
1.8;789;873;522 
1.9;799;876;522 
2.0;809;873;522 
2.1;775;873;522 
2.2;735;873;522 
2.3;719;873;522 
2.4;741;873;522 
2.5;729;873;522 
2.6;702;873;522 
2.7;669;873;522 
2.8;679;873;522 
2.9;655;873;522 
3.0;674;873;522 
