15/07/2026 15:06:06 
3403_10.txt 
Soma: 31965
Dose: 31965.0
Time;Count;Current;Light 
0.1;1654;444;529 
0.2;1558;880;529 
0.3;1527;880;529 
0.4;1455;880;529 
0.5;1465;880;529 
0.6;1324;880;529 
0.7;1337;880;529 
0.8;1265;880;529 
0.9;1277;880;529 
1.0;1147;880;529 
1.1;1122;880;529 
1.2;1152;880;529 
1.3;1129;880;529 
1.4;1028;880;529 
1.5;1016;880;529 
1.6;997;880;529 
1.7;1006;880;529 
1.8;967;880;529 
1.9;936;880;529 
2.0;897;880;529 
2.1;824;880;529 
2.2;858;880;530 
2.3;792;880;530 
2.4;799;880;530 
2.5;774;880;530 
2.6;756;880;529 
2.7;760;880;529 
2.8;730;880;529 
2.9;722;880;530 
3.0;691;880;530 
