15/07/2026 16:39:16 
branco_5168_10.txt 
Soma: 1363
Dose: 1363.0
Time;Count;Current;Light 
0.1;60;444;531 
0.2;44;883;532 
0.3;36;880;532 
0.4;51;880;532 
0.5;53;880;531 
0.6;37;883;531 
0.7;48;883;531 
0.8;39;880;531 
0.9;59;883;531 
1.0;51;880;531 
1.1;39;883;531 
1.2;38;883;531 
1.3;47;880;531 
1.4;49;883;532 
1.5;53;883;532 
1.6;58;883;532 
1.7;39;883;532 
1.8;51;883;532 
1.9;53;880;532 
2.0;43;880;532 
2.1;40;883;532 
2.2;39;883;531 
2.3;43;883;531 
2.4;35;883;531 
2.5;50;883;532 
2.6;46;883;531 
2.7;51;883;532 
2.8;32;880;531 
2.9;36;883;531 
3.0;43;880;532 
