Time,Count,Current,Light
0.1,228.0,441.0,529.0
0.2,223.0,876.0,530.0
0.3,206.0,876.0,530.0
0.4,206.0,876.0,530.0
0.5,195.0,876.0,530.0
0.6,180.0,876.0,530.0
0.7,189.0,876.0,530.0
0.8,196.0,876.0,530.0
0.9,189.0,876.0,529.0
1.0,163.0,876.0,529.0
1.1,150.0,876.0,530.0
1.2,167.0,876.0,530.0
1.3,157.0,876.0,530.0
1.4,139.0,876.0,530.0
1.5,158.0,876.0,530.0
1.6,147.0,876.0,530.0
1.7,175.0,876.0,530.0
1.8,165.0,876.0,530.0
1.9,139.0,876.0,530.0
2.0,162.0,876.0,530.0
2.1,133.0,876.0,530.0
2.2,129.0,876.0,530.0
2.3,134.0,876.0,530.0
2.4,123.0,876.0,530.0
2.5,132.0,876.0,530.0
2.6,131.0,876.0,530.0
2.7,129.0,876.0,530.0
2.8,118.0,876.0,530.0
2.9,124.0,876.0,530.0
3.0,117.0,876.0,530.0
