17/07/2026 13:10:36 
05168_10_0.1mSv.txt 
Soma: 4167
Dose: 0.08546
Time;Count;Current;Light 
0.1;166;441;529 
0.2;179;876;529 
0.3;183;876;529 
0.4;181;876;529 
0.5;138;876;529 
0.6;159;876;529 
0.7;153;876;529 
0.8;170;876;529 
0.9;147;876;529 
1.0;142;876;529 
1.1;174;876;529 
1.2;139;876;529 
1.3;148;876;529 
1.4;128;876;529 
1.5;133;876;529 
1.6;128;876;529 
1.7;128;876;529 
1.8;133;876;529 
1.9;109;876;529 
2.0;118;876;529 
2.1;121;876;529 
2.2;140;876;529 
2.3;131;876;529 
2.4;125;876;529 
2.5;110;876;529 
2.6;134;876;529 
2.7;114;876;529 
2.8;110;876;529 
2.9;114;876;529 
3.0;112;876;529 
