coluna_1,coluna_2,coluna_3,coluna_4
0.7,66.0,876.0,526.0
0.8,59.0,876.0,526.0
0.9,68.0,876.0,526.0
1.0,53.0,876.0,526.0
1.1,59.0,876.0,526.0
1.2,54.0,876.0,526.0
1.3,58.0,876.0,526.0
1.4,61.0,876.0,525.0
1.5,64.0,876.0,526.0
1.6,53.0,876.0,526.0
1.7,58.0,876.0,526.0
1.8,64.0,880.0,526.0
1.9,65.0,876.0,525.0
2.0,62.0,876.0,526.0
2.1,50.0,876.0,526.0
2.2,49.0,876.0,525.0
2.3,60.0,876.0,525.0
2.4,63.0,876.0,525.0
2.5,80.0,876.0,525.0
2.6,51.0,876.0,525.0
2.7,77.0,876.0,525.0
2.8,63.0,876.0,525.0
2.9,52.0,876.0,525.0
3.0,62.0,876.0,525.0
