Time,Count,Current,Light
0.1,1628.0,441.0,535.0
0.2,1539.0,880.0,535.0
0.3,1451.0,880.0,535.0
0.4,1483.0,880.0,535.0
0.5,1335.0,880.0,535.0
0.6,1398.0,880.0,535.0
0.7,1292.0,880.0,535.0
0.8,1279.0,880.0,535.0
0.9,1280.0,880.0,535.0
1.0,1228.0,880.0,535.0
1.1,1180.0,880.0,535.0
1.2,1250.0,880.0,535.0
1.3,1147.0,880.0,535.0
1.4,1149.0,880.0,535.0
1.5,1094.0,880.0,535.0
1.6,1092.0,880.0,535.0
1.7,1038.0,880.0,535.0
1.8,1109.0,880.0,535.0
1.9,1022.0,880.0,535.0
2.0,1045.0,880.0,535.0
2.1,940.0,880.0,535.0
2.2,926.0,880.0,535.0
2.3,932.0,880.0,535.0
2.4,884.0,880.0,535.0
2.5,932.0,880.0,535.0
2.6,959.0,880.0,535.0
2.7,861.0,880.0,535.0
2.8,832.0,880.0,535.0
2.9,788.0,880.0,535.0
3.0,799.0,880.0,535.0
3.1,795.0,880.0,535.0
3.2,795.0,880.0,535.0
3.3,764.0,880.0,535.0
3.4,752.0,880.0,535.0
3.5,757.0,880.0,535.0
3.6,747.0,880.0,535.0
3.7,711.0,880.0,535.0
3.8,731.0,880.0,535.0
3.9,676.0,880.0,535.0
4.0,679.0,880.0,535.0
4.1,664.0,880.0,535.0
4.2,664.0,880.0,535.0
4.3,659.0,880.0,535.0
4.4,632.0,880.0,535.0
4.5,698.0,880.0,535.0
4.6,591.0,880.0,535.0
4.7,597.0,876.0,535.0
4.8,562.0,880.0,535.0
4.9,538.0,880.0,535.0
5.0,579.0,880.0,535.0
5.1,588.0,876.0,535.0
5.2,543.0,876.0,535.0
5.3,539.0,880.0,535.0
5.4,531.0,880.0,535.0
5.5,519.0,876.0,535.0
5.6,538.0,880.0,535.0
5.7,510.0,876.0,535.0
5.8,486.0,876.0,535.0
5.9,527.0,880.0,535.0
6.0,508.0,876.0,535.0
6.1,501.0,880.0,535.0
6.2,512.0,876.0,535.0
6.3,494.0,876.0,535.0
6.4,465.0,880.0,535.0
6.5,440.0,876.0,535.0
6.6,452.0,880.0,535.0
6.7,429.0,876.0,535.0
6.8,412.0,876.0,534.0
6.9,429.0,876.0,535.0
7.0,425.0,876.0,534.0
7.1,439.0,876.0,535.0
7.2,430.0,876.0,535.0
7.3,407.0,876.0,534.0
7.4,440.0,876.0,535.0
7.5,419.0,876.0,535.0
7.6,413.0,876.0,534.0
7.7,415.0,876.0,534.0
7.8,378.0,876.0,534.0
7.9,361.0,876.0,534.0
8.0,351.0,876.0,534.0
8.1,370.0,876.0,534.0
8.2,380.0,876.0,534.0
8.3,350.0,876.0,534.0
8.4,389.0,876.0,534.0
8.5,398.0,876.0,534.0
8.6,332.0,876.0,534.0
8.7,329.0,876.0,534.0
8.8,347.0,876.0,534.0
8.9,383.0,876.0,534.0
9.0,345.0,876.0,534.0
9.1,307.0,876.0,534.0
9.2,336.0,876.0,534.0
9.3,359.0,876.0,534.0
9.4,301.0,876.0,534.0
9.5,327.0,876.0,534.0
9.6,352.0,876.0,534.0
9.7,296.0,876.0,534.0
9.8,313.0,876.0,534.0
9.9,318.0,876.0,534.0
10.0,303.0,876.0,534.0
10.1,314.0,876.0,534.0
10.2,319.0,876.0,534.0
10.3,293.0,876.0,533.0
10.4,284.0,876.0,534.0
10.5,289.0,876.0,534.0
10.6,281.0,876.0,534.0
10.7,271.0,876.0,534.0
10.8,293.0,876.0,534.0
10.9,265.0,876.0,534.0
11.0,270.0,876.0,534.0
11.1,282.0,876.0,534.0
11.2,275.0,876.0,534.0
11.3,288.0,876.0,533.0
11.4,231.0,876.0,534.0
11.5,265.0,876.0,534.0
11.6,255.0,876.0,534.0
11.7,233.0,876.0,534.0
11.8,265.0,876.0,533.0
11.9,247.0,876.0,533.0
12.0,232.0,876.0,534.0
12.1,237.0,876.0,534.0
12.2,232.0,876.0,534.0
12.3,237.0,876.0,533.0
12.4,248.0,876.0,534.0
12.5,242.0,876.0,534.0
12.6,236.0,876.0,533.0
12.7,218.0,876.0,534.0
12.8,237.0,876.0,534.0
12.9,217.0,876.0,533.0
13.0,219.0,876.0,534.0
13.1,212.0,876.0,534.0
13.2,231.0,876.0,534.0
13.3,203.0,876.0,534.0
13.4,235.0,876.0,533.0
13.5,236.0,876.0,533.0
13.6,214.0,876.0,534.0
13.7,217.0,876.0,534.0
13.8,218.0,876.0,534.0
13.9,203.0,876.0,533.0
14.0,227.0,876.0,534.0
14.1,224.0,876.0,534.0
14.2,214.0,876.0,534.0
14.3,174.0,876.0,533.0
14.4,191.0,876.0,534.0
14.5,209.0,876.0,533.0
14.6,194.0,876.0,534.0
14.7,210.0,876.0,534.0
14.8,186.0,876.0,533.0
14.9,204.0,876.0,533.0
15.0,213.0,876.0,534.0
15.1,194.0,876.0,534.0
15.2,174.0,876.0,533.0
15.3,160.0,876.0,534.0
15.4,184.0,876.0,534.0
15.5,169.0,880.0,534.0
15.6,156.0,876.0,533.0
15.7,168.0,876.0,534.0
15.8,201.0,876.0,533.0
15.9,158.0,876.0,534.0
16.0,190.0,876.0,534.0
16.1,177.0,876.0,534.0
16.2,182.0,876.0,534.0
16.3,161.0,876.0,534.0
16.4,160.0,876.0,533.0
16.5,172.0,876.0,533.0
16.6,169.0,876.0,534.0
16.7,144.0,876.0,534.0
16.8,169.0,876.0,534.0
16.9,139.0,876.0,533.0
17.0,173.0,876.0,534.0
17.1,166.0,876.0,534.0
17.2,142.0,876.0,534.0
17.3,149.0,876.0,533.0
17.4,134.0,880.0,534.0
17.5,151.0,876.0,534.0
17.6,180.0,880.0,534.0
17.7,145.0,876.0,534.0
17.8,151.0,876.0,534.0
17.9,166.0,880.0,533.0
18.0,145.0,880.0,534.0
18.1,150.0,880.0,534.0
18.2,148.0,880.0,534.0
18.3,160.0,880.0,534.0
18.4,161.0,880.0,534.0
18.5,154.0,880.0,534.0
18.6,186.0,880.0,534.0
18.7,134.0,880.0,534.0
18.8,159.0,880.0,534.0
18.9,133.0,880.0,534.0
19.0,157.0,880.0,534.0
19.1,142.0,880.0,534.0
19.2,139.0,880.0,534.0
19.3,145.0,880.0,534.0
19.4,154.0,880.0,534.0
19.5,144.0,880.0,534.0
19.6,126.0,880.0,534.0
19.7,156.0,880.0,534.0
19.8,128.0,880.0,533.0
19.9,144.0,880.0,534.0
20.0,131.0,880.0,534.0
20.1,141.0,880.0,534.0
20.2,138.0,876.0,534.0
20.3,138.0,880.0,534.0
20.4,145.0,880.0,534.0
20.5,139.0,880.0,534.0
20.6,122.0,880.0,534.0
20.7,108.0,876.0,533.0
20.8,114.0,876.0,533.0
20.9,136.0,880.0,533.0
21.0,108.0,876.0,533.0
21.1,106.0,880.0,533.0
21.2,127.0,880.0,533.0
21.3,115.0,880.0,534.0
21.4,128.0,880.0,534.0
21.5,120.0,880.0,533.0
21.6,127.0,880.0,533.0
21.7,121.0,880.0,534.0
21.8,116.0,880.0,534.0
21.9,144.0,880.0,533.0
22.0,117.0,880.0,533.0
22.1,119.0,880.0,534.0
22.2,138.0,880.0,533.0
22.3,102.0,880.0,533.0
22.4,123.0,880.0,533.0
22.5,129.0,880.0,533.0
22.6,106.0,876.0,533.0
22.7,113.0,880.0,533.0
22.8,82.0,880.0,533.0
22.9,99.0,880.0,533.0
23.0,106.0,876.0,533.0
23.1,135.0,880.0,533.0
23.2,123.0,880.0,533.0
23.3,104.0,880.0,533.0
23.4,118.0,880.0,533.0
23.5,118.0,880.0,533.0
23.6,119.0,880.0,533.0
23.7,109.0,880.0,533.0
23.8,118.0,880.0,533.0
23.9,129.0,880.0,533.0
24.0,123.0,880.0,533.0
24.1,107.0,880.0,533.0
24.2,96.0,880.0,533.0
24.3,100.0,880.0,533.0
24.4,120.0,880.0,533.0
24.5,109.0,880.0,533.0
24.6,128.0,880.0,533.0
24.7,119.0,880.0,533.0
24.8,110.0,880.0,533.0
24.9,101.0,880.0,533.0
25.0,100.0,880.0,533.0
25.1,85.0,880.0,533.0
25.2,90.0,880.0,533.0
25.3,111.0,880.0,533.0
25.4,111.0,880.0,533.0
25.5,119.0,880.0,533.0
25.6,122.0,880.0,533.0
25.7,110.0,880.0,533.0
25.8,116.0,880.0,533.0
25.9,126.0,880.0,533.0
26.0,118.0,880.0,533.0
26.1,100.0,880.0,533.0
26.2,94.0,880.0,533.0
26.3,104.0,880.0,533.0
26.4,100.0,880.0,533.0
26.5,110.0,880.0,533.0
