17/07/2026 16:49:13 
25344_007_Zeramento_L1.txt 
Soma: 121397
Dose: 3.613503102
Time;Count;Current;Light 
0.1;1628;441;535 
0.2;1539;880;535 
0.3;1451;880;535 
0.4;1483;880;535 
0.5;1335;880;535 
0.6;1398;880;535 
0.7;1292;880;535 
0.8;1279;880;535 
0.9;1280;880;535 
1.0;1228;880;535 
1.1;1180;880;535 
1.2;1250;880;535 
1.3;1147;880;535 
1.4;1149;880;535 
1.5;1094;880;535 
1.6;1092;880;535 
1.7;1038;880;535 
1.8;1109;880;535 
1.9;1022;880;535 
2.0;1045;880;535 
2.1;940;880;535 
2.2;926;880;535 
2.3;932;880;535 
2.4;884;880;535 
2.5;932;880;535 
2.6;959;880;535 
2.7;861;880;535 
2.8;832;880;535 
2.9;788;880;535 
3.0;799;880;535 
3.1;795;880;535 
3.2;795;880;535 
3.3;764;880;535 
3.4;752;880;535 
3.5;757;880;535 
3.6;747;880;535 
3.7;711;880;535 
3.8;731;880;535 
3.9;676;880;535 
4.0;679;880;535 
4.1;664;880;535 
4.2;664;880;535 
4.3;659;880;535 
4.4;632;880;535 
4.5;698;880;535 
4.6;591;880;535 
4.7;597;876;535 
4.8;562;880;535 
4.9;538;880;535 
5.0;579;880;535 
5.1;588;876;535 
5.2;543;876;535 
5.3;539;880;535 
5.4;531;880;535 
5.5;519;876;535 
5.6;538;880;535 
5.7;510;876;535 
5.8;486;876;535 
5.9;527;880;535 
6.0;508;876;535 
6.1;501;880;535 
6.2;512;876;535 
6.3;494;876;535 
6.4;465;880;535 
6.5;440;876;535 
6.6;452;880;535 
6.7;429;876;535 
6.8;412;876;534 
6.9;429;876;535 
7.0;425;876;534 
7.1;439;876;535 
7.2;430;876;535 
7.3;407;876;534 
7.4;440;876;535 
7.5;419;876;535 
7.6;413;876;534 
7.7;415;876;534 
7.8;378;876;534 
7.9;361;876;534 
8.0;351;876;534 
8.1;370;876;534 
8.2;380;876;534 
8.3;350;876;534 
8.4;389;876;534 
8.5;398;876;534 
8.6;332;876;534 
8.7;329;876;534 
8.8;347;876;534 
8.9;383;876;534 
9.0;345;876;534 
9.1;307;876;534 
9.2;336;876;534 
9.3;359;876;534 
9.4;301;876;534 
9.5;327;876;534 
9.6;352;876;534 
9.7;296;876;534 
9.8;313;876;534 
9.9;318;876;534 
10.0;303;876;534 
10.1;314;876;534 
10.2;319;876;534 
10.3;293;876;533 
10.4;284;876;534 
10.5;289;876;534 
10.6;281;876;534 
10.7;271;876;534 
10.8;293;876;534 
10.9;265;876;534 
11.0;270;876;534 
11.1;282;876;534 
11.2;275;876;534 
11.3;288;876;533 
11.4;231;876;534 
11.5;265;876;534 
11.6;255;876;534 
11.7;233;876;534 
11.8;265;876;533 
11.9;247;876;533 
12.0;232;876;534 
12.1;237;876;534 
12.2;232;876;534 
12.3;237;876;533 
12.4;248;876;534 
12.5;242;876;534 
12.6;236;876;533 
12.7;218;876;534 
12.8;237;876;534 
12.9;217;876;533 
13.0;219;876;534 
13.1;212;876;534 
13.2;231;876;534 
13.3;203;876;534 
13.4;235;876;533 
13.5;236;876;533 
13.6;214;876;534 
13.7;217;876;534 
13.8;218;876;534 
13.9;203;876;533 
14.0;227;876;534 
14.1;224;876;534 
14.2;214;876;534 
14.3;174;876;533 
14.4;191;876;534 
14.5;209;876;533 
14.6;194;876;534 
14.7;210;876;534 
14.8;186;876;533 
14.9;204;876;533 
15.0;213;876;534 
15.1;194;876;534 
15.2;174;876;533 
15.3;160;876;534 
15.4;184;876;534 
15.5;169;880;534 
15.6;156;876;533 
15.7;168;876;534 
15.8;201;876;533 
15.9;158;876;534 
16.0;190;876;534 
16.1;177;876;534 
16.2;182;876;534 
16.3;161;876;534 
16.4;160;876;533 
16.5;172;876;533 
16.6;169;876;534 
16.7;144;876;534 
16.8;169;876;534 
16.9;139;876;533 
17.0;173;876;534 
17.1;166;876;534 
17.2;142;876;534 
17.3;149;876;533 
17.4;134;880;534 
17.5;151;876;534 
17.6;180;880;534 
17.7;145;876;534 
17.8;151;876;534 
17.9;166;880;533 
18.0;145;880;534 
18.1;150;880;534 
18.2;148;880;534 
18.3;160;880;534 
18.4;161;880;534 
18.5;154;880;534 
18.6;186;880;534 
18.7;134;880;534 
18.8;159;880;534 
18.9;133;880;534 
19.0;157;880;534 
19.1;142;880;534 
19.2;139;880;534 
19.3;145;880;534 
19.4;154;880;534 
19.5;144;880;534 
19.6;126;880;534 
19.7;156;880;534 
19.8;128;880;533 
19.9;144;880;534 
20.0;131;880;534 
20.1;141;880;534 
20.2;138;876;534 
20.3;138;880;534 
20.4;145;880;534 
20.5;139;880;534 
20.6;122;880;534 
20.7;108;876;533 
20.8;114;876;533 
20.9;136;880;533 
21.0;108;876;533 
21.1;106;880;533 
21.2;127;880;533 
21.3;115;880;534 
21.4;128;880;534 
21.5;120;880;533 
21.6;127;880;533 
21.7;121;880;534 
21.8;116;880;534 
21.9;144;880;533 
22.0;117;880;533 
22.1;119;880;534 
22.2;138;880;533 
22.3;102;880;533 
22.4;123;880;533 
22.5;129;880;533 
22.6;106;876;533 
22.7;113;880;533 
22.8;82;880;533 
22.9;99;880;533 
23.0;106;876;533 
23.1;135;880;533 
23.2;123;880;533 
23.3;104;880;533 
23.4;118;880;533 
23.5;118;880;533 
23.6;119;880;533 
23.7;109;880;533 
23.8;118;880;533 
23.9;129;880;533 
24.0;123;880;533 
24.1;107;880;533 
24.2;96;880;533 
24.3;100;880;533 
24.4;120;880;533 
24.5;109;880;533 
24.6;128;880;533 
24.7;119;880;533 
24.8;110;880;533 
24.9;101;880;533 
