17/07/2026 16:53:26 
25344_007_linhaBase_L2.txt 
Soma: 1722
Dose: 1722.0
Time;Count;Current;Light 
0.1;58;444;525 
0.2;62;880;527 
0.3;55;880;527 
0.4;48;880;527 
0.5;61;880;527 
0.6;63;876;526 
0.7;65;880;527 
0.8;56;876;527 
0.9;54;880;527 
1.0;59;876;527 
1.1;64;880;527 
1.2;48;876;527 
1.3;57;880;527 
1.4;59;876;526 
1.5;60;876;526 
1.6;67;876;526 
1.7;52;876;526 
1.8;62;876;526 
1.9;65;876;526 
2.0;68;876;526 
2.1;56;876;526 
2.2;68;876;526 
2.3;63;876;526 
2.4;58;876;526 
2.5;50;876;526 
2.6;55;876;526 
2.7;43;876;526 
2.8;40;876;526 
2.9;46;876;526 
3.0;60;876;526 
