Time,Count,Current,Light
0.1,62.0,444.0,526.0
0.2,59.0,876.0,527.0
0.3,49.0,876.0,527.0
0.4,44.0,876.0,527.0
0.5,55.0,876.0,527.0
0.6,62.0,880.0,527.0
0.7,41.0,876.0,527.0
0.8,61.0,876.0,526.0
0.9,55.0,876.0,526.0
1.0,65.0,876.0,527.0
1.1,49.0,880.0,527.0
1.2,50.0,880.0,527.0
1.3,42.0,876.0,527.0
1.4,60.0,880.0,527.0
1.5,62.0,876.0,527.0
1.6,64.0,880.0,527.0
1.7,44.0,880.0,527.0
1.8,53.0,880.0,527.0
1.9,53.0,880.0,527.0
2.0,62.0,880.0,527.0
2.1,60.0,880.0,527.0
2.2,60.0,880.0,527.0
2.3,60.0,880.0,527.0
2.4,49.0,880.0,528.0
2.5,47.0,880.0,527.0
2.6,51.0,880.0,527.0
2.7,52.0,880.0,527.0
2.8,53.0,880.0,527.0
2.9,40.0,880.0,527.0
3.0,65.0,880.0,527.0
