17/07/2026 16:45:38 
25344_10.txt 
Soma: 1
Dose: 2.5773000000000002e-05
Time;Count;Current;Light 
0.1;0;444;536 
0.2;0;880;535 
0.3;0;880;535 
0.4;0;880;535 
0.5;0;880;535 
0.6;0;880;535 
0.7;0;880;535 
0.8;0;880;535 
0.9;0;880;535 
1.0;0;880;535 
1.1;0;880;535 
1.2;0;880;535 
1.3;0;880;535 
1.4;0;880;535 
1.5;0;880;535 
1.6;0;880;535 
1.7;0;880;535 
1.8;0;880;535 
1.9;0;880;535 
2.0;0;880;536 
2.1;0;880;535 
2.2;0;880;535 
2.3;0;880;536 
2.4;1;880;536 
2.5;0;880;535 
2.6;0;880;536 
2.7;0;880;536 
2.8;0;880;536 
2.9;0;880;536 
3.0;0;880;536 
