Time,Count,Current,Light
0.1,198.0,364.0,525.0
0.2,198.0,729.0,524.0
0.3,236.0,768.0,527.0
0.4,263.0,777.0,527.0
0.5,259.0,777.0,527.0
0.6,262.0,777.0,528.0
0.7,271.0,777.0,527.0
0.8,241.0,777.0,527.0
0.9,273.0,780.0,527.0
1.0,265.0,780.0,528.0
1.1,259.0,777.0,527.0
1.2,291.0,777.0,527.0
1.3,233.0,780.0,527.0
1.4,243.0,777.0,528.0
1.5,227.0,777.0,527.0
1.6,276.0,777.0,527.0
1.7,264.0,780.0,527.0
1.8,263.0,777.0,527.0
1.9,249.0,780.0,527.0
2.0,261.0,777.0,527.0
2.1,273.0,777.0,527.0
2.2,288.0,780.0,527.0
2.3,279.0,780.0,528.0
2.4,315.0,780.0,527.0
2.5,247.0,780.0,527.0
2.6,261.0,784.0,527.0
2.7,259.0,780.0,527.0
2.8,293.0,780.0,527.0
2.9,261.0,780.0,528.0
3.0,273.0,777.0,528.0
