20/07/2026 16:19:15 
teste_travamento_41.txt 
Soma: 6696
Dose: 0.22096800000000003
Time;Count;Current;Light 
0.1;213;361;510 
0.2;209;716;512 
0.3;210;716;511 
0.4;223;716;511 
0.5;229;716;511 
0.6;215;716;511 
0.7;230;716;511 
0.8;210;716;510 
0.9;221;716;510 
1.0;237;716;510 
1.1;217;716;511 
1.2;258;716;511 
1.3;225;716;510 
1.4;200;716;511 
1.5;212;716;511 
1.6;209;716;510 
1.7;213;716;510 
1.8;237;716;511 
1.9;222;716;511 
2.0;221;713;511 
2.1;231;716;511 
2.2;206;716;511 
2.3;206;716;511 
2.4;219;716;511 
2.5;257;716;511 
2.6;222;716;511 
2.7;232;716;511 
2.8;254;716;511 
2.9;233;716;512 
3.0;225;716;511 
