26/05/2026 11:37:25
teste6.txt
0.1 #L1%A000000000
0.1 #L1%A000000000
0.2 #L1%A000000000
0.2 #L1%A000000000
0.3 #L1%A000000000
0.3 #L1%A000000000
0.4 #L1%A000000000
0.4 #L1%A000000000
0.5 #L1%A000000000
0.5 #L1%A000000000
0.6 #L1%A000000000
0.6 #L1%A000000000
0.7 #L1%A000000000
0.7 #L1%A000000000
0.8 #L1%A000000000
0.8 #L1%A000000000
0.9 #L1%A000000000
0.9 #L1%A000000000
1.0 #L1%A000000000
1.0 #L1%A000000000
1.1 #L1%A000000000
1.1 #L1%A000000000
1.2 #L1%A000000000
1.2 #L1%A000000000
1.3 #L1%A000000000
1.3 #L1%A000000000
1.4 #L1%A000000000
1.4 #L1%A000000000
1.5 #L1%A000000000
1.5 #L1%A000000000
1.6 #L1%A000000000
1.6 #L1%A000000000
1.7 #L1%A000000000
1.7 #L1%A000000000
1.8 #L1%A000000000
1.8 #L1%A000000000
1.9 #L1%A000000000
1.9 #L1%A000000000
2.0 #L1%A000000000
2.0 #L1%A000000000
2.1 #L1%A000000000
2.1 #L1%A000000000
2.2 #L1%A000000000
2.2 #L1%A000000000
2.3 #L1%A000000000
2.3 #L1%A000000000
2.4 #L1%A000000000
2.4 #L1%A000000000
2.5 #L1%A000000000
2.5 #L1%A000000000
2.6 #L1%A000000000
2.6 #L1%A000000000
2.7 #L1%A000000000
2.7 #L1%A000000000
2.8 #L1%A000000000
2.8 #L1%A000000000
2.9 #L1%A000000000
2.9 #L1%A000000000
3.0 #L1%A000000000
3.0 #L1%A000000000
0
